,0
10,"[ 7.38042110e-01  1.35776567e-03  1.47408430e+00  2.73353109e-03
  2.20413574e+00  5.16325529e-03  2.92817841e+00  6.64701926e-03
  3.64223049e+00  9.22074151e-03  4.34629198e+00  1.28844221e-02
  5.03834495e+00  1.56561416e-02  5.71638950e+00  1.75539000e-02
  6.37844368e+00  2.05956159e-02  7.02448952e+00  2.27813704e-02
  7.65252708e+00  2.41291632e-02  8.26156542e+00  2.56479537e-02
  8.85059556e+00  2.63467823e-02  9.41962652e+00  2.72256084e-02
  9.96764933e+00  2.72934725e-02  1.04946640e+01  2.65503745e-02
  1.10006795e+01  2.59962740e-02  1.14846959e+01  2.56401708e-02
  1.19467042e+01  2.44821055e-02  1.23867134e+01  2.35220374e-02
  1.28057144e+01  2.17510073e-02  1.32017163e+01  2.01869745e-02
  1.35757192e+01  1.88209389e-02  1.39287139e+01  1.66439413e-02
  1.42597185e+01  1.56649005e-02  1.45687150e+01  1.38838975e-02
  1.48567123e+01  1.22918920e-02  1.51217106e+01  1.09068837e-02
  1.53667007e+01  8.70191350e-03  1.67506536e+01 -2.75395884e-03]"
11,"[6.33755650e-01 1.94307042e-03 1.24848501e+00 3.89723434e-03
 1.84313744e+00 6.80916350e-03 2.41871161e+00 1.07308345e-02
 2.97426083e+00 1.46116224e-02 3.51078376e+00 1.85035038e-02
 4.02717779e+00 2.43517987e-02 4.52559616e+00 2.92645154e-02
 5.00393760e+00 3.51349974e-02 5.46519807e+00 4.21191743e-02
 5.90748423e+00 4.81157964e-02 6.33069211e+00 5.51221603e-02
 6.73687099e+00 6.22435709e-02 7.12297295e+00 7.03227466e-02
 7.49109925e+00 7.74663442e-02 7.83814998e+00 8.55157304e-02
 8.16622639e+00 9.25775618e-02 8.47222858e+00 1.00493205e-01
 8.75725916e+00 1.07317341e-01 9.01926885e+00 1.13944664e-01
 9.26025495e+00 1.20479127e-01 9.47822017e+00 1.26816777e-01
 9.67421512e+00 1.32010943e-01 9.84918648e+00 1.37112250e-01
 1.00031342e+01 1.42120696e-01 1.01371610e+01 1.45090963e-01
 1.02531082e+01 1.49122948e-01 1.03531289e+01 1.51324660e-01
 1.04381180e+01 1.53745372e-01 1.09121010e+01 1.66398486e-01]"
12,"[8.11002682e-01 2.15637058e-03 1.60689944e+00 5.21338681e-03
 2.38654708e+00 1.10927869e-02 3.14602917e+00 1.85054934e-02
 3.88442133e+00 2.63812344e-02 4.59965593e+00 3.55714764e-02
 5.29073565e+00 4.60032840e-02 5.95666314e+00 5.76037222e-02
 6.59743842e+00 7.03727909e-02 7.21206413e+00 8.42375549e-02
 7.80061322e+00 9.82006776e-02 8.36301275e+00 1.13259496e-01
 8.89933566e+00 1.28416672e-01 9.40958194e+00 1.43672208e-01
 9.89467600e+00 1.60096373e-01 1.03546908e+01 1.76691833e-01
 1.07896263e+01 1.93458587e-01 1.11994825e+01 2.10396634e-01
 1.15853296e+01 2.26581574e-01 1.19460975e+01 2.42937807e-01
 1.22828564e+01 2.58540933e-01 1.25956063e+01 2.73390951e-01
 1.28852715e+01 2.88558134e-01 1.31510007e+01 3.01974872e-01
 1.33937182e+01 3.14711438e-01 1.36144213e+01 3.26840766e-01
 1.38141075e+01 3.38435792e-01 1.39927766e+01 3.49496516e-01
 1.41514990e+01 3.59098536e-01 1.49577117e+01 4.13043479e-01]"
13,"[0.61060997 0.02807957 1.2036139  0.06564741 1.77634241 0.11027978
 2.32894417 0.16098779 2.86043027 0.2176228  3.36897159 0.27889861
 3.85486543 0.34283745 4.31727155 0.40830177 4.75520107 0.47514292
 5.16895128 0.54138312 5.55867083 0.60603349 5.92322219 0.66993425
 6.2630513  0.73011875 6.57786087 0.78856476 6.86809684 0.84230562
 7.13247303 0.89317044 7.37326452 0.93947876 7.58933376 0.98207081
 7.7818183  1.02010636 7.95170702 1.05373405 8.09998882 1.08310253
 8.22750394 1.10934935 8.33553856 1.13064538 8.42592181 1.1482768
 8.49949394 1.16338116 8.55754114 1.17412933 8.60075499 1.18264774
 8.63225081 1.18839346 8.63536613 1.18785052 8.57959401 1.17542187]"
14,"[ 5.84192575e-01  1.87359042e-04  1.17740811e+00 -3.90970299e-04
  1.77562195e+00 -8.39314286e-04  2.37683477e+00 -1.20966706e-03
  2.98107258e+00 -2.50169064e-03  3.58331107e+00 -3.84570836e-03
  4.18357623e+00 -6.24138225e-03  4.77981674e+00 -7.74138239e-03
  5.37008528e+00 -1.03970270e-02  5.95235652e+00 -1.32606481e-02
  6.52763013e+00 -1.63062488e-02  7.09290712e+00 -1.96118202e-02
  7.64818749e+00 -2.31773622e-02  8.19244557e+00 -2.60292101e-02
  8.72573338e+00 -3.01666877e-02  9.24699924e+00 -3.36164681e-02
  9.75729482e+00 -3.83518784e-02  1.02565941e+01 -4.33732564e-02
  1.07428978e+01 -4.87325964e-02  1.12162059e+01 -5.44298982e-02
  1.16775440e+01 -6.14388270e-02  1.21268862e+01 -6.87597206e-02
  1.25622591e+01 -7.74442352e-02  1.29846364e+01 -8.64667117e-02
  1.33920188e+01 -9.58791443e-02  1.37854319e+01 -1.06655198e-01
  1.41628765e+01 -1.18846867e-01  1.45253000e+01 -1.30428829e-01
  1.48707294e+01 -1.42452742e-01  1.76486013e+01 -2.55274342e-01]"
15,"[4.12202583e-01 1.42501778e-03 8.04347429e-01 4.14895360e-03
 1.17547014e+00 7.13742703e-03 1.52353696e+00 1.13198399e-02
 1.84958225e+00 1.57317976e-02 2.15257165e+00 2.13376947e-02
 2.43257513e+00 2.61387562e-02 2.68952271e+00 3.21337572e-02
 2.92448377e+00 3.73589153e-02 3.13742330e+00 4.28136182e-02
 3.32837632e+00 4.74984783e-02 3.49930658e+00 5.24828689e-02
 3.65124848e+00 5.68023952e-02 3.78416703e+00 6.14564449e-02
 3.90013098e+00 6.45162285e-02 4.00010473e+00 6.70161264e-02
 4.08605206e+00 7.00255118e-02 4.16004173e+00 7.16155955e-02
 4.22200376e+00 7.37851525e-02 4.27600568e+00 7.46753791e-02
 4.32201250e+00 7.52856628e-02 4.36198800e+00 7.66853770e-02
 4.39800095e+00 7.69457322e-02 4.43201512e+00 7.71361017e-02
 4.46499491e+00 7.82908659e-02 4.49900908e+00 7.84812354e-02
 4.53398764e+00 7.97059853e-02 4.57299875e+00 8.00713191e-02
 4.61597242e+00 8.15760119e-02 5.62887691e+00 1.02032960e-01]"
16,"[ 5.07237164e-01 -3.93187102e-03  9.98478858e-01 -8.24444733e-03
  1.47477239e+00 -1.49133686e-02  1.93814098e+00 -2.48907636e-02
  2.38953676e+00 -3.61534044e-02  2.82900732e+00 -5.07007249e-02
  3.25957561e+00 -6.94610596e-02  3.68324106e+00 -9.23868204e-02
  4.10200309e+00 -1.19430419e-01  4.51688523e+00 -1.51567779e-01
  4.93188634e+00 -1.88703722e-01  5.34607809e+00 -2.33861195e-01
  5.76341175e+00 -2.84945587e-01  6.18498222e+00 -3.45931972e-01
  6.61276514e+00 -4.15773044e-01  7.04580838e+00 -4.96492031e-01
  7.48713488e+00 -5.89017268e-01  7.93679223e+00 -6.95348189e-01
  8.39385210e+00 -8.18507738e-01  8.85929041e+00 -9.57472405e-01
  9.33220262e+00 -1.11626485e+00  9.81061309e+00 -1.29593238e+00
  1.02955691e+01 -1.49845063e+00  1.07830719e+01 -1.72391479e+00
  1.12722168e+01 -1.97634750e+00  1.17609568e+01 -2.25379693e+00
  1.22463642e+01 -2.55933362e+00  1.27274392e+01 -2.89298134e+00
  1.31991595e+01 -3.25385936e+00  1.73471010e+01 -8.95977836e+00]"
17,"[1.53116494e-01 5.82518904e-04 2.92202942e-01 1.56229895e-03
 4.18301407e-01 1.98325125e-03 5.29370750e-01 2.75847793e-03
 6.27452110e-01 2.97487687e-03 7.13501575e-01 3.67451045e-03
 7.87562133e-01 3.85830302e-03 8.50632859e-01 3.56924135e-03
 9.04668917e-01 3.89237457e-03 9.49713294e-01 3.82862704e-03
 9.86722080e-01 4.42006114e-03 1.01973456e+00 4.83954825e-03
 1.04675259e+00 5.00111486e-03 1.07077339e+00 5.03372122e-03
 1.09379512e+00 5.02334083e-03 1.11477571e+00 5.92606258e-03
 1.13679836e+00 5.87269544e-03 1.15882101e+00 5.81932830e-03
 1.18379790e+00 6.89399705e-03 1.21181501e+00 7.09855041e-03
 1.24382841e+00 7.47505077e-03 1.27888204e+00 6.98143574e-03
 1.31988712e+00 7.74481685e-03 1.36493150e+00 7.68106932e-03
 1.41597033e+00 7.87524228e-03 1.47300362e+00 8.32733575e-03
 1.53503228e+00 8.99436297e-03 1.60405447e+00 9.96229744e-03
 1.67907112e+00 1.11881524e-02 2.96330281e+00 3.34136433e-02]"
18,"[8.39770109e-01 1.77870283e-03 1.66946037e+00 5.10553286e-03
 2.48511982e+00 8.80156316e-03 3.28470550e+00 1.37758118e-02
 4.06526543e+00 1.88943366e-02 4.82380264e+00 2.40221832e-02
 5.55927317e+00 3.01133544e-02 6.27172200e+00 3.61688625e-02
 6.95715317e+00 4.20087684e-02 7.61751969e+00 4.87220292e-02
 8.25086855e+00 5.52196878e-02 8.85719976e+00 6.15017440e-02
 9.43646833e+00 6.85671856e-02 9.98876424e+00 7.44180372e-02
 1.05150415e+01 8.00982713e-02 1.10143011e+01 8.55629031e-02
 1.14875420e+01 9.08569174e-02 1.19368072e+01 9.50712961e-02
 1.23630957e+01 9.82510242e-02 1.27674065e+01 1.00441086e-01
 1.31517375e+01 1.01731452e-01 1.35190408e+01 1.03256064e-01
 1.38704052e+01 1.03061931e-01 1.42087378e+01 1.03281983e-01
 1.45370805e+01 1.03052187e-01 1.48594293e+01 1.02552482e-01
 1.51767832e+01 1.01827853e-01 1.54941371e+01 1.01103224e-01
 1.58134889e+01 1.00468565e-01 2.01194654e+01 1.31203229e-01]"
19,"[6.27177987e-01 1.33122221e-03 1.23636025e+00 3.05474724e-03
 1.82454750e+00 5.23595890e-03 2.39371747e+00 6.83150550e-03
 2.94189243e+00 8.88473872e-03 3.46907237e+00 1.13956586e-02
 3.97623528e+00 1.33427080e-02 4.46140340e+00 1.57692386e-02
 4.92657628e+00 1.86316612e-02 5.37073235e+00 2.09520080e-02
 5.79587114e+00 2.26866897e-02 6.20001492e+00 2.48790581e-02
 6.58416345e+00 2.75073185e-02 6.94931649e+00 3.05496763e-02
 7.29545225e+00 3.30063690e-02 7.62361408e+00 3.68551271e-02
 7.93275863e+00 4.01182200e-02 8.22490722e+00 4.37518212e-02
 8.49906008e+00 4.77777253e-02 8.75621698e+00 5.21741375e-02
 8.99637792e+00 5.69410580e-02 9.21952110e+00 6.10787242e-02
 9.42668988e+00 6.65648664e-02 9.61684090e+00 7.14217545e-02
 9.79097393e+00 7.56275937e-02 9.94913255e+00 8.11819089e-02
 1.00912514e+01 8.50854129e-02 1.02183956e+01 9.03155983e-02
 1.03304997e+01 9.38731778e-02 1.07369482e+01 1.10018632e-01]"
20,"[ 5.67076493e-01 -1.11875744e-03  1.11504803e+00 -2.21216767e-03
  1.64281424e+00 -4.16859222e-03  2.14948676e+00 -5.88766129e-03
  2.63297086e+00 -8.15173227e-03  3.09227217e+00 -1.08548010e-02
  3.52739069e+00 -1.39968676e-02  3.93633769e+00 -1.73659237e-02
  4.32021354e+00 -2.00736077e-02  4.67692351e+00 -2.29022771e-02
  5.00735595e+00 -2.69523017e-02  5.31083451e+00 -2.91345803e-02
  5.58803555e+00 -3.25382142e-02  5.83927707e+00 -3.41801061e-02
  6.06523544e+00 -3.71493574e-02  6.26821739e+00 -3.86748792e-02
  6.44811692e+00 -3.97510373e-02  6.60781113e+00 -4.16902097e-02
  6.75049512e+00 -4.28216774e-02  6.87815761e+00 -4.33574488e-02
  6.99467008e+00 -4.47159061e-02  7.10123889e+00 -4.50143220e-02
  7.20372423e+00 -4.58830871e-02  7.30422084e+00 -4.65398439e-02
  7.40571181e+00 -4.73026048e-02  7.51228062e+00 -4.76010207e-02
  7.62680436e+00 -4.87474697e-02  7.75237212e+00 -5.00655985e-02
  7.89008427e+00 -5.06670456e-02  1.04540602e+01 -6.45372505e-02]"
21,"[7.65146301e-01 1.06712663e-03 1.53125038e+00 4.15481073e-03
 2.29833325e+00 8.26327279e-03 3.06141699e+00 1.22877410e-02
 3.81948084e+00 1.72069965e-02 4.56954646e+00 2.19582643e-02
 5.31159284e+00 2.75413240e-02 6.04264164e+00 3.28934006e-02
 6.76069331e+00 3.79724973e-02 7.46674763e+00 4.27996126e-02
 8.15682648e+00 4.62909730e-02 8.83288741e+00 5.04881345e-02
 9.49095231e+00 5.43073238e-02 1.01310422e+01 5.67487614e-02
 1.07521362e+01 5.87912283e-02 1.13532347e+01 6.04137261e-02
 1.19323380e+01 6.15742579e-02 1.24884674e+01 6.12520456e-02
 1.30205811e+01 6.14256499e-02 1.35277213e+01 6.00745133e-02
 1.40078464e+01 5.91561978e-02 1.44609775e+01 5.76709240e-02
 1.48861148e+01 5.55976935e-02 1.52822585e+01 5.29155077e-02
 1.56483878e+01 5.06031477e-02 1.59855024e+01 4.86816120e-02
 1.62936235e+01 4.61511210e-02 1.65727300e+01 4.40114543e-02
 1.68228428e+01 4.12628324e-02 1.82464530e+01 2.71533377e-02]"
22,"[ 2.47202055e-01  3.79769017e-04  4.99441687e-01 -2.96418312e-05
  7.56718899e-01 -1.22823254e-03  1.01994883e+00 -1.17577921e-03
  1.28821634e+00 -1.91250573e-03  1.56247856e+00 -2.39730634e-03
  1.84077924e+00 -3.71327447e-03  2.12403352e+00 -3.82018620e-03
  2.41032715e+00 -4.80025310e-03  2.70161636e+00 -5.57038174e-03
  2.99590293e+00 -6.21454742e-03  3.29218774e+00 -6.77473779e-03
  3.59242703e+00 -6.16785942e-03  3.89370743e+00 -6.51811152e-03
  4.19594495e+00 -5.82725785e-03  4.49918160e+00 -5.09441652e-03
  4.80237625e+00 -3.36245706e-03  5.10457179e+00 -1.67248525e-03
  5.40476910e+00 -6.64887490e-05  5.70292618e+00  2.45465058e-03
  5.99808590e+00  4.84982694e-03  6.28920717e+00  8.07617082e-03
  6.57533284e+00  1.10925764e-02  6.85746204e+00  1.39410314e-02
  7.13355455e+00  1.75366787e-02  7.40361035e+00  2.18795181e-02
  7.66871256e+00  2.50133011e-02  7.92777807e+00  2.88942764e-02
  8.18184799e+00  3.25653133e-02]"
23,"[1.70129349e-02 7.48362159e-04 3.50257603e-02 1.48192853e-03
 5.60530532e-02 3.17099808e-03 8.00948134e-02 5.81557080e-03
 1.09150822e-01 9.38605513e-03 1.44235766e-01 1.48675458e-02
 1.87319833e-01 2.02306702e-02 2.39402916e-01 2.54606325e-02
 3.02499590e-01 3.15277317e-02 3.76595061e-01 3.74320772e-02
 4.64674202e-01 4.21293912e-02 5.65751921e-01 4.66343599e-02
 6.81798407e-01 4.89176108e-02 8.11813768e-01 4.89939395e-02
 9.56827487e-01 4.88483315e-02 1.11782466e+00 4.74661004e-02
 1.29580517e+00 4.48324503e-02 1.48878405e+00 4.19768634e-02
 1.69876106e+00 3.88697482e-02 1.92575101e+00 3.65109951e-02
 2.16973910e+00 3.39007136e-02 2.43074012e+00 3.20387943e-02
 2.70973917e+00 2.99105508e-02 3.00475126e+00 2.85454653e-02
 3.31579120e+00 2.89434282e-02 3.64384407e+00 3.00897534e-02
 3.98889508e+00 3.09845501e-02 4.34998873e+00 3.46422859e-02
 4.72708062e+00 3.80632890e-02 1.01101992e+01 1.41427128e-01]"
