,0
10,"[ 7.99312689e-01 -5.21775873e-03  1.58314425e+00 -1.54688708e-02
  2.35149468e+00 -3.07533363e-02  3.10423534e+00 -5.00794640e-02
  3.84248656e+00 -7.43103026e-02  4.56413632e+00 -1.02711446e-01
  5.27043359e+00 -1.37137634e-01  5.96025805e+00 -1.76725818e-01
  6.63447273e+00 -2.20355664e-01  7.29320628e+00 -2.69018863e-01
  7.93533837e+00 -3.21852367e-01  8.56099764e+00 -3.79847867e-01
  9.16992681e+00 -4.41021981e-01  9.76126282e+00 -5.06495042e-01
  1.03368604e+01 -5.75018075e-01  1.08947362e+01 -6.46848364e-01
  1.14347616e+01 -7.20994218e-01  1.19558162e+01 -7.96592589e-01
  1.24580286e+01 -8.74635167e-01  1.29411417e+01 -9.53138572e-01
  1.34031719e+01 -1.03236009e+00  1.38439907e+01 -1.11130802e+00
  1.42634695e+01 -1.18899069e+00  1.46596247e+01 -1.26566536e+00
  1.50313362e+01 -1.34046901e+00  1.53804586e+01 -1.41215264e+00
  1.57051372e+01 -1.48196523e+00  1.60061064e+01 -1.54779477e+00
  1.62825032e+01 -1.61076158e+00  1.81205932e+01 -2.09129782e+00]"
11,"[ 6.39569686e-01 -7.85649149e-04  1.25707588e+00 -4.74726372e-04
  1.85260057e+00 -1.06555091e-03  2.42506261e+00 -6.00792031e-04
  2.97454397e+00 -1.07876898e-03  3.50096269e+00 -5.01162520e-04
  4.00336059e+00  9.18792200e-05  4.48173767e+00  7.00356238e-04
  4.93809225e+00  1.40624556e-03  5.37142516e+00  2.16855868e-03
  5.78377573e+00  2.07011300e-03  6.17506197e+00  3.10922776e-03
  6.54632403e+00  4.32773186e-03  6.89860205e+00  4.76745418e-03
  7.23285421e+00  5.46854287e-03  7.55012066e+00  5.47282682e-03
  7.85135957e+00  5.82045416e-03  8.13761108e+00  5.55325379e-03
  8.40987436e+00  4.71221422e-03  8.66810842e+00  4.29649507e-03
  8.91335340e+00  3.34792524e-03  9.14560930e+00  1.86650472e-03
  9.36587529e+00 -1.06777962e-04  9.57411038e+00 -1.57276320e-03
  9.76935639e+00 -3.57159912e-03  9.95161332e+00 -6.10328573e-03
  1.01218394e+01 -8.12767488e-03  1.02770780e+01 -1.07668918e-02
  1.04192866e+01 -1.29397997e-02  1.11826546e+01 -3.06653732e-02]"
12,"[ 4.38460107e-01 -1.65372079e-03  8.53415148e-01 -4.53703848e-03
  1.24420037e+00 -6.51498272e-03  1.61049358e+00 -9.56143253e-03
  1.95245588e+00 -1.26894484e-02  2.27008727e+00 -1.58990303e-02
  2.56256190e+00 -1.80421474e-02  2.83054452e+00 -2.12537702e-02
  3.07550535e+00 -2.27341712e-02  3.29696112e+00 -2.54441692e-02
  3.49736897e+00 -2.67451282e-02  3.67739367e+00 -2.87720187e-02
  3.83834433e+00 -2.97120528e-02  3.98104681e+00 -3.07132614e-02
  4.10763607e+00 -3.11108878e-02  4.21992491e+00 -3.22140540e-02
  4.31922244e+00 -3.22099725e-02  4.40718037e+00 -3.33947048e-02
  4.48609474e+00 -3.41165546e-02  4.55596558e+00 -3.43755219e-02
  4.61876674e+00 -3.44937894e-02  4.67433714e+00 -3.54582966e-02
  4.72497285e+00 -3.56173472e-02  4.77149970e+00 -3.61189719e-02
  4.81194383e+00 -3.66409881e-02  4.84942714e+00 -3.66797304e-02
  4.88280160e+00 -3.70610468e-02  4.91222830e+00 -3.67979979e-02
  4.93952004e+00 -3.71997058e-02  5.03750845e+00 -3.90084119e-02]"
13,"[ 7.25915897e-01  3.32802900e-04  1.43879440e+00  8.27692229e-04
  2.13854641e+00  4.88643999e-04  2.82426501e+00  4.00767617e-04
  3.49586110e+00 -4.31960909e-04  4.15143172e+00 -8.35346753e-04
  4.79088778e+00 -1.80541391e-03  5.41223724e+00 -3.16399153e-03
  6.01647613e+00 -5.00016505e-03  6.60152330e+00 -8.13178762e-03
  7.16755693e+00 -1.05668113e-02  7.71240680e+00 -1.41191131e-02
  8.23706893e+00 -1.88777786e-02  8.73964037e+00 -2.36686129e-02
  9.22012111e+00 -2.84916160e-02  9.67742604e+00 -3.42537265e-02
  1.01116442e+01 -3.99589203e-02  1.05216906e+01 -4.65141361e-02
  1.09076542e+01 -5.29233499e-02  1.12695351e+01 -5.91865617e-02
  1.16053412e+01 -6.51256006e-02  1.19170646e+01 -7.09186375e-02
  1.22037091e+01 -7.64765870e-02  1.24673561e+01 -8.09815958e-02
  1.27059242e+01 -8.52515172e-02  1.29234868e+01 -8.86466689e-02
  1.31189587e+01 -9.20739893e-02  1.32935140e+01 -9.36305160e-02
  1.34509588e+01 -9.56646386e-02  1.45810340e+01 -1.00356515e-01]"
14,"[3.00392252e-01 2.54854952e-03 5.97708076e-01 4.36525451e-03
 8.94115878e-01 7.26616142e-03 1.18952757e+00 1.02551577e-02
 1.48294703e+00 1.34203326e-02 1.77437427e+00 1.67616863e-02
 2.06580151e+00 2.01030400e-02 2.35722875e+00 2.34443936e-02
 2.64757178e+00 2.58777240e-02 2.93800291e+00 2.93071670e-02
 3.22834595e+00 3.17404975e-02 3.51968509e+00 3.40857386e-02
 3.81102424e+00 3.64309796e-02 4.10435562e+00 3.86000420e-02
 4.39859502e+00 3.96849025e-02 4.69283441e+00 4.07697629e-02
 4.98806992e+00 4.17665340e-02 5.28330543e+00 4.27633051e-02
 5.57944897e+00 4.26758743e-02 5.87468448e+00 4.36726454e-02
 6.16974381e+00 4.26771914e-02 6.46289900e+00 4.28540286e-02
 6.75497000e+00 4.21228426e-02 7.04504877e+00 4.15678353e-02
 7.33213920e+00 4.12770960e-02 7.61615320e+00 4.02545123e-02
 7.89726696e+00 4.04923091e-02 8.17430817e+00 4.00863507e-02
 8.44736494e+00 4.00327498e-02 1.09732010e+01 5.15783812e-02]"
15,"[ 0.20186218 -0.00294255  0.38136386 -0.00579694  0.53948819 -0.00874593
  0.67721833 -0.01197228  0.79473704 -0.01449284  0.89401063 -0.01667313
  0.9758395  -0.01967907  1.04157234 -0.02172711  1.09317545 -0.02318278
  1.13144923 -0.025212    1.15872552 -0.02621398  1.17678787 -0.02753741
  1.17678787 -0.02753741  1.17678787 -0.02753741  1.17678787 -0.02753741
  1.17678787 -0.02753741  1.17678787 -0.02753741  1.17678787 -0.02753741
  1.17678787 -0.02753741  1.17678787 -0.02753741  1.17678787 -0.02753741
  1.17678787 -0.02753741  1.17678787 -0.02753741  1.17678787 -0.02753741
  1.17678787 -0.02753741  1.17678787 -0.02753741  1.17678787 -0.02753741
  1.17678787 -0.02753741  1.17678787 -0.02753741  1.19583338 -0.0290436 ]"
16,"[ 9.14326867e-01 -1.23036757e-02  1.81461019e+00 -3.53674124e-02
  2.69887934e+00 -6.88497063e-02  3.56649052e+00 -1.10609178e-01
  4.41808752e+00 -1.62787206e-01  5.25285579e+00 -2.24227726e-01
  6.07015151e+00 -2.92789357e-01  6.87078926e+00 -3.69628166e-01
  7.65493977e+00 -4.53758838e-01  8.42277381e+00 -5.44196059e-01
  9.17561819e+00 -6.39139953e-01  9.91428747e+00 -7.39746586e-01
  1.06391232e+01 -8.44045329e-01  1.13502960e+01 -9.51050869e-01
  1.20487913e+01 -1.06093396e+00  1.27347799e+01 -1.17270928e+00
  1.34072763e+01 -1.28620609e+00  1.40685928e+01 -1.39979525e+00
  1.47165879e+01 -1.51412058e+00  1.53506180e+01 -1.62704070e+00
  1.59705121e+01 -1.73954092e+00  1.65746411e+01 -1.84930912e+00
  1.71626637e+01 -1.95831591e+00  1.77329506e+01 -2.06424917e+00
  1.82846873e+01 -2.16595283e+00  1.88165469e+01 -2.26522677e+00
  1.93269004e+01 -2.35975885e+00  1.98155770e+01 -2.45053439e+00
  2.02815913e+01 -2.53738264e+00  2.37693540e+01 -3.15499471e+00]"
17,"[ 8.83359071e-01 -1.32371919e-03  1.74564080e+00 -1.78380263e-03
  2.58295898e+00 -3.59323007e-03  3.39320856e+00 -4.86286431e-03
  4.17644353e+00 -6.59124771e-03  4.92961428e+00 -7.94175920e-03
  5.65471789e+00 -8.80645126e-03  6.34881272e+00 -1.03457875e-02
  7.01478644e+00 -1.04007620e-02  7.65174846e+00 -1.10224331e-02
  8.26158791e+00 -1.01057687e-02  8.84341421e+00 -9.70182726e-03
  9.39917045e+00 -8.70411883e-03  9.93190625e+00 -7.94926452e-03
  1.04405691e+01 -6.49269574e-03  1.09292071e+01 -5.11705980e-03
  1.13978203e+01 -3.82235671e-03  1.18514014e+01 -2.33871765e-03
  1.22889518e+01 -7.20116402e-04  1.27165168e+01  3.58747250e-04
  1.31340424e+01  1.89641566e-03  1.35465753e+01  3.16421527e-03
  1.39570572e+01  5.32260971e-03  1.43675930e+01  6.48246180e-03
  1.47830675e+01  8.91072504e-03  1.52055859e+01  1.07182622e-02
  1.56390881e+01  1.31195108e-02  1.60865700e+01  1.62763920e-02
  1.65510271e+01  2.03508271e-02  2.32897303e+01  1.52256247e-01]"
18,"[ 7.40151417e-01 -9.38138509e-04  1.47830319e+00 -1.91427473e-03
  2.21445533e+00 -2.92840867e-03  2.94362773e+00 -5.07535411e-03
  3.66378276e+00 -6.39346976e-03  4.37295877e+00 -8.92039233e-03
  5.06913713e+00 -1.16943001e-02  5.75031819e+00 -1.47531906e-02
  6.41550215e+00 -1.81160629e-02  7.06370817e+00 -2.28017352e-02
  7.69289862e+00 -2.68485664e-02  8.30309250e+00 -3.12563758e-02
  8.89330899e+00 -3.70439818e-02  9.46151045e+00 -4.22497432e-02
  1.00097345e+01 -4.88353013e-02  1.05349437e+01 -5.48580135e-02
  1.10371381e+01 -6.03178799e-02  1.15153368e+01 -6.62337189e-02
  1.19695399e+01 -7.26055305e-02  1.23987284e+01 -7.84524940e-02
  1.28039023e+01 -8.37556105e-02  1.31820621e+01 -8.85718767e-02
  1.35362261e+01 -9.38441155e-02  1.38633761e+01 -9.86295038e-02
  1.41664924e+01 -1.01871226e-01  1.44446132e+01 -1.05587919e-01
  1.46987384e+01 -1.09760585e-01  1.49288298e+01 -1.12389584e-01
  1.51369253e+01 -1.15436559e-01  1.63064553e+01 -1.32219856e-01]"
19,"[ 8.59028751e-01 -9.08868898e-03  1.71120320e+00 -2.43432989e-02
  2.55837736e+00 -4.70139050e-02  3.39783482e+00 -7.47295871e-02
  4.23056722e+00 -1.07619576e-01  5.05472055e+00 -1.44433795e-01
  5.86917397e+00 -1.86034631e-01  6.67418594e+00 -2.30438853e-01
  7.46764399e+00 -2.78379616e-01  8.24782337e+00 -3.27615229e-01
  9.01545721e+00 -3.80258153e-01  9.76683753e+00 -4.33808238e-01
  1.05029559e+01 -4.88394712e-01  1.12226916e+01 -5.44879962e-01
  1.19241905e+01 -6.02013912e-01  1.26074527e+01 -6.59796561e-01
  1.32724781e+01 -7.18227910e-01  1.39162919e+01 -7.76920269e-01
  1.45408773e+01 -8.36132097e-01  1.51453720e+01 -8.94742550e-01
  1.57286550e+01 -9.53614012e-01  1.62908558e+01 -1.01175487e+00
  1.68319741e+01 -1.06916512e+00  1.73500268e+01 -1.12558630e+00
  1.78471265e+01 -1.18028527e+00  1.83230145e+01 -1.23524524e+00
  1.87759661e+01 -1.28822454e+00  1.92079646e+01 -1.33948161e+00
  1.96180184e+01 -1.38888724e+00  2.28498197e+01 -1.80905692e+00]"
20,"[4.98074392e-01 2.62686632e-03 9.79137379e-01 4.47134613e-03
 1.44420168e+00 6.52056159e-03 1.89128024e+00 9.80002277e-03
 2.32334724e+00 1.22715055e-02 2.73942835e+00 1.59476420e-02
 3.13951076e+00 1.98285141e-02 3.52558153e+00 2.28886118e-02
 3.89865336e+00 2.61150572e-02 4.25773913e+00 3.05205644e-02
 4.60381317e+00 3.40925011e-02 4.93788819e+00 3.78179897e-02
 5.25996420e+00 4.16970299e-02 5.57104110e+00 4.57168259e-02
 5.87213162e+00 5.08644998e-02 6.16221025e+00 5.51530113e-02
 6.44128977e+00 5.95822786e-02 6.71137004e+00 6.41267097e-02
 6.97145112e+00 6.87991006e-02 7.22153302e+00 7.35994512e-02
 7.46261565e+00 7.85149656e-02 7.69369911e+00 8.35584398e-02
 7.91378347e+00 8.87426698e-02 8.12385584e+00 9.30549414e-02
 8.32294192e+00 9.85078869e-02 8.51001618e+00 1.03114466e-01
 8.68509143e+00 1.07874597e-01 8.84815486e+00 1.11788361e-01
 8.99821935e+00 1.15868473e-01 9.89559377e+00 1.39387616e-01]"
21,"[6.57302176e-01 1.68795412e-03 1.29957953e+00 3.88045364e-03
 1.92579960e+00 7.54396007e-03 2.53799430e+00 1.17450059e-02
 3.13513118e+00 1.74500527e-02 3.71827568e+00 2.26931833e-02
 4.28639535e+00 2.84408593e-02 4.84148911e+00 3.47590687e-02
 5.38155804e+00 4.15818235e-02 5.90863405e+00 4.79756562e-02
 6.42168469e+00 5.49070282e-02 6.92070995e+00 6.23759397e-02
 7.40674230e+00 6.94159290e-02 7.87878226e+00 7.59940022e-02
 8.33679685e+00 8.31096147e-02 8.78181853e+00 8.97963052e-02
 9.21284782e+00 9.60210794e-02 9.63085120e+00 1.02816387e-01
 1.00348622e+01 1.09149779e-01 1.04248808e+01 1.15021254e-01
 1.08029060e+01 1.20496801e-01 1.11669388e+01 1.25510432e-01
 1.15179456e+01 1.31094597e-01 1.18559596e+01 1.36249839e-01
 1.21810136e+01 1.39976704e-01 1.24920422e+01 1.44241108e-01
 1.27900779e+01 1.48076590e-01 1.30751207e+01 1.51483150e-01
 1.33471706e+01 1.54460787e-01 1.53870071e+01 1.62767698e-01]"
22,"[ 6.52166928e-01 -5.45419932e-04  1.28736344e+00 -2.09325806e-03
  1.90652882e+00 -3.58628860e-03  2.51072030e+00 -5.96380578e-03
  3.10087718e+00 -8.16858382e-03  3.67799771e+00 -1.01416569e-02
  4.24313912e+00 -1.28223194e-02  4.80029445e+00 -1.59747080e-02
  5.34740822e+00 -1.87184944e-02  5.88853242e+00 -2.18160755e-02
  6.42360810e+00 -2.42691912e-02  6.95469074e+00 -2.69581700e-02
  7.48078208e+00 -2.99419777e-02  8.00288038e+00 -3.31616485e-02
  8.52086770e+00 -3.46206624e-02  9.03392270e+00 -3.73727652e-02
  9.54186846e+00 -3.84231769e-02  1.00428264e+01 -3.98863490e-02
  1.05366786e+01 -3.97657615e-02  1.10204892e+01 -3.92365717e-02
  1.14932010e+01 -3.73594855e-02  1.19538748e+01 -3.51917286e-02
  1.23984584e+01 -3.19709042e-02  1.28268930e+01 -2.66987521e-02
  1.32373000e+01 -2.14897240e-02  1.36265666e+01 -1.45241971e-02
  1.39958090e+01 -7.73972580e-03  1.43419146e+01  6.83312683e-04
  1.46649422e+01  9.74665832e-03  1.67323512e+01  8.07766231e-02]"
23,"[ 5.93301584e-01 -1.79742140e-03  1.16858174e+00 -3.11719012e-03
  1.72387031e+00 -5.01687753e-03  2.26016686e+00 -7.46748772e-03
  2.77744241e+00 -9.46944116e-03  3.27569695e+00 -1.10227378e-02
  3.75395990e+00 -1.31559532e-02  4.21417243e+00 -1.38119364e-02
  4.65639252e+00 -1.49898464e-02  5.07962060e+00 -1.67186791e-02
  5.48379869e+00 -1.69992756e-02  5.87098391e+00 -1.77728030e-02
  6.24014772e+00 -1.80686777e-02  6.59129009e+00 -1.78868997e-02
  6.92444003e+00 -1.82270485e-02  7.23956855e+00 -1.80895446e-02
  7.53667564e+00 -1.74743881e-02  7.81581929e+00 -1.83807379e-02
  8.07591294e+00 -1.78388514e-02  8.31701458e+00 -1.78478877e-02
  8.53912420e+00 -1.84078467e-02  8.74121324e+00 -1.85481450e-02
  8.92431027e+00 -1.92393660e-02  9.08741571e+00 -2.05105057e-02
  9.23147115e+00 -2.03334091e-02  9.35656357e+00 -2.17068149e-02
  9.46260599e+00 -2.16319843e-02  9.55265513e+00 -2.20210887e-02
  9.62471185e+00 -2.29321200e-02  9.80181140e+00 -2.37973166e-02]"
24,"[ 1.18944167e+00 -1.82626349e-02  2.37115694e+00 -5.10958840e-02
  3.54320437e+00 -9.80193070e-02  4.70558397e+00 -1.59032904e-01
  5.85659453e+00 -2.32685516e-01  6.99696653e+00 -3.20188082e-01
  8.12523898e+00 -4.19118724e-01  9.23947045e+00 -5.28997002e-01
  1.03386902e+01 -6.49582697e-01  1.14221678e+01 -7.79664868e-01
  1.24882019e+01 -9.17792359e-01  1.35363024e+01 -1.06178351e+00
  1.45650180e+01 -1.21333954e+00  1.55731279e+01 -1.36906785e+00
  1.65596615e+01 -1.52872823e+00  1.75248590e+01 -1.69134995e+00
  1.84648375e+01 -1.85597213e+00  1.93817786e+01 -2.02210450e+00
  2.02720397e+01 -2.18781546e+00  2.11375623e+01 -2.35358544e+00
  2.19754342e+01 -2.51869378e+00  2.27851650e+01 -2.68095884e+00
  2.35674854e+01 -2.84159155e+00  2.43209342e+01 -2.99817002e+00
  2.50440604e+01 -3.15239548e+00  2.57385554e+01 -3.30159599e+00
  2.64029679e+01 -3.44747278e+00  2.70365674e+01 -3.58881489e+00
  2.76398345e+01 -3.72368089e+00  3.23277667e+01 -4.81991624e+00]"
